Designator,Mid X,Mid Y,Rotation,Layer
D1,43.0797,-4.6697,0.0,bottom
D10,95.4397,-21.3697,0.0,bottom
D11,114.5297,-26.1597,0.0,bottom
D12,133.5997,-27.6697,0.0,bottom
D13,38.3197,-42.8397,0.0,bottom
D14,57.3797,-40.4497,0.0,bottom
D15,76.3497,-39.0497,0.0,bottom
D16,95.5097,-40.3997,0.0,bottom
D17,114.5397,-45.2097,0.0,bottom
D18,133.5697,-46.7097,0.0,bottom
D19,38.3197,-61.8697,0.0,bottom
D2,57.3697,-2.3197,0.0,bottom
D20,57.3797,-59.4397,0.0,bottom
D21,76.4297,-58.0997,0.0,bottom
D22,95.4497,-59.4397,0.0,bottom
D23,114.5197,-64.2597,0.0,bottom
D24,133.5897,-65.7397,0.0,bottom
D25,19.68224,-47.5097,90.0,bottom
D26,29.5597,-85.107201,60.0,bottom
D27,47.7397,-80.8797,0.0,bottom
D28,66.8297,-79.5197,0.0,bottom
D29,85.8497,-78.5597,0.0,bottom
D3,76.3597,-0.8697,0.0,bottom
D30,22.6797,-47.5097,90.0,bottom
D31,43.0797,-4.6697,180.0,top
D32,57.3697,-2.3197,180.0,top
D33,76.3597,-0.8697,180.0,top
D34,95.4797,-2.2897,180.0,top
D35,114.5297,-7.0897,180.0,top
D36,133.5997,-8.6197,180.0,top
D37,38.3297,-23.7697,180.0,top
D38,57.3797,-21.3497,180.0,top
D39,76.4497,-19.9597,180.0,top
D4,95.4797,-2.2897,0.0,bottom
D40,95.4397,-21.3697,180.0,top
D41,114.5297,-26.1597,180.0,top
D42,133.5997,-27.6697,180.0,top
D43,133.5697,-46.7097,180.0,top
D44,114.5397,-45.2097,180.0,top
D45,95.5097,-40.3997,180.0,top
D46,76.3497,-39.0497,180.0,top
D47,57.3797,-40.4497,180.0,top
D48,38.3197,-42.8397,180.0,top
D49,38.3197,-61.8697,180.0,top
D5,114.5297,-7.0897,0.0,bottom
D50,57.3797,-59.4397,180.0,top
D51,19.68224,-47.5097,90.0,top
D52,29.5597,-85.107201,120.0,top
D53,47.7397,-80.8797,180.0,top
D54,66.8297,-79.5197,180.0,top
D55,85.8497,-78.5597,180.0,top
D56,76.4297,-58.0997,180.0,top
D57,95.4497,-59.4397,180.0,top
D58,114.5197,-64.2597,180.0,top
D59,133.5897,-65.7397,180.0,top
D6,133.5997,-8.6197,0.0,bottom
D60,22.6797,-47.5097,90.0,top
D7,38.3297,-23.7697,0.0,bottom
D8,57.3797,-21.3497,0.0,bottom
D9,76.4497,-19.9597,0.0,bottom
FB1,15.4297,-42.7497,0.0,top
FB2,6.3597,-38.9697,90.0,top
FB3,6.3597,-38.972201,90.0,bottom
FB4,15.427199,-42.7497,180.0,bottom
J1,5.1067,-47.0597,90.0,bottom
LED1,38.3397,-18.3897,180.0,top
LED10,95.4897,-35.0397,0.0,top
LED11,114.5397,-39.8397,0.0,top
LED12,133.5897,-41.3397,0.0,top
LED13,38.3397,-56.4897,180.0,top
LED14,57.3897,-54.0897,180.0,top
LED15,76.4397,-52.6997,180.0,top
LED16,95.4897,-54.0897,180.0,top
LED17,114.5397,-58.8897,180.0,top
LED18,133.5897,-60.3897,180.0,top
LED19,38.3397,-75.5397,0.0,top
LED2,57.3897,-15.9897,180.0,top
LED20,57.3897,-73.1397,0.0,top
LED21,76.4397,-71.7497,0.0,top
LED22,95.4897,-73.1397,0.0,top
LED23,114.5397,-77.9397,0.0,top
LED24,133.5897,-79.4397,0.0,top
LED25,14.4145,-66.675,0.0,top
LED26,17.711291,-91.897199,120.0,top
LED27,47.7897,-94.5897,180.0,top
LED28,66.8374,-93.218,180.0,top
LED29,85.8897,-92.1897,180.0,top
LED3,76.4397,-14.5997,180.0,top
LED30,47.8632,-15.7607,180.0,top
LED31,85.9682,-15.6972,180.0,top
LED32,124.0617,-20.2057,180.0,top
LED33,124.0647,-76.8317,0.0,top
LED34,76.3397,-91.3892,0.0,top
LED35,26.0477,-71.7042,180.0,top
LED4,95.4897,-15.9897,180.0,top
LED5,114.5397,-20.7897,180.0,top
LED6,133.5897,-22.2897,180.0,top
LED7,38.3397,-37.4397,0.0,top
LED8,57.3897,-35.0397,0.0,top
LED9,76.4397,-33.6497,0.0,top
RES1,42.8497,-0.2197,0.0,top
RES2,42.8497,-0.2197,0.0,bottom
SW1,38.3397,-13.3097,0.0,top
SW10,95.4897,-29.9597,0.0,top
SW11,114.5397,-34.7597,0.0,top
SW12,133.5897,-36.2597,0.0,top
SW13,38.3397,-51.4097,0.0,top
SW14,57.3897,-49.0097,0.0,top
SW15,76.4397,-47.6197,0.0,top
SW16,95.4897,-49.0097,0.0,top
SW17,114.5397,-53.8097,0.0,top
SW18,133.5897,-55.3097,0.0,top
SW19,38.3397,-70.4597,0.0,top
SW2,57.3897,-10.9097,0.0,top
SW20,57.3897,-68.0597,0.0,top
SW21,76.4397,-66.6697,0.0,top
SW22,95.4897,-68.0597,0.0,top
SW23,114.5397,-72.8597,0.0,top
SW24,133.5897,-74.3597,0.0,top
SW25,14.4145,-61.595,0.0,top
SW26,22.1107,-89.3572,300.0,top
SW27,47.7897,-89.5097,0.0,top
SW28,66.8374,-88.138,0.0,top
SW29,85.8897,-87.1097,0.0,top
SW3,76.4397,-9.5197,0.0,top
SW32,32.7297,-0.8297,180.0,top
SW33,32.7297,-0.8297,180.0,bottom
SW4,95.4897,-10.9097,0.0,top
SW5,114.5397,-15.7097,0.0,top
SW6,133.5897,-17.2097,0.0,top
SW7,38.3397,-32.3597,0.0,top
SW8,57.3897,-29.9597,0.0,top
SW9,76.4397,-28.5697,0.0,top
U2,15.7697,-47.1597,270.0,top
U3,15.769701,-47.1522,90.0,bottom
